cnes;Regi?o de Sa?de;Regi?o Administrativa
9058605;Sudoeste;Águas Claras
9298983;Sudoeste;Samambaia
4854160;Sudoeste;Águas Claras
4462726;Sudoeste;Águas Claras
666106;Sudoeste;Taguatinga
283452;Sudoeste;Taguatinga
4547861;Sudoeste;Águas Claras
2945975;Sudoeste;Samambaia
3255530;Sudoeste;Taguatinga
11339;Central;Plano Piloto
3041697;Central;Plano Piloto
10723;Central;Plano Piloto
9179321;Central;Plano Piloto
3077098;Central;Plano Piloto
9827811;Central;Plano Piloto
9182039;Central;Plano Piloto
3075990;Central;Plano Piloto
2616696;Central;Plano Piloto
2643154;Central;Plano Piloto
4996976;Central;Plano Piloto
5875595;Central;Sudoeste/Octogonal
5134986;Central;Plano Piloto
9242686;Central;Plano Piloto
9765972;Central;Plano Piloto
3252477;Central;Plano Piloto
7080875;Central;Plano Piloto
5735025;Central;Plano Piloto
9678506;Central;Plano Piloto
9779906;Central;Plano Piloto
3578488;Central;Plano Piloto
3048950;Central;Plano Piloto
4711084;Central;Plano Piloto
3022633;Central;Plano Piloto
4621530;Central;Plano Piloto
842435;Central;Plano Piloto
5368847;Central;Lago Norte
6750125;Central;Plano Piloto
987654;Central;Plano Piloto
989002;Central;Plano Piloto
4780418;Central;Plano Piloto
4007867;Central;Plano Piloto
9516719;Central;Plano Piloto
3083322;Central;Plano Piloto
9320466;Central;Plano Piloto
4763998;Central;Plano Piloto
7817649;Central;Plano Piloto
4028627;Central;Plano Piloto
4428056;Central;Plano Piloto
4437101;Central;Lago Sul
9466223;Central;Plano Piloto
9777385;Central;Plano Piloto
9305564;Central;Sudoeste/Octogonal
4217004;Central;Plano Piloto
9983341;Central;Plano Piloto
3210863;Central;Plano Piloto
2617250;Central;Sudoeste/Octogonal
9798013;Central;Plano Piloto
2880067;Central;Plano Piloto
6922740;Central;Plano Piloto
776246;Central;Plano Piloto
3500888;Central;Plano Piloto
3068153;Central;Plano Piloto
5039711;Central;Plano Piloto
9462546;Central;Plano Piloto
4186583;Central;Sudoeste/Octogonal
9530258;Central;Plano Piloto
7511051;Central;Plano Piloto
2993554;Central;Plano Piloto
7513402;Central;Plano Piloto
3752666;Central;Plano Piloto
5371112;Central;Plano Piloto
6243568;Central;Plano Piloto
9631704;Central;Plano Piloto
4220706;Central;Plano Piloto
3360814;Central;Plano Piloto
4590201;Central;Plano Piloto
4376811;Central;Plano Piloto
2980657;Central;Plano Piloto
4155653;Central;Plano Piloto
314587;Central;Sudoeste/Octogonal
4236963;Central;Plano Piloto
7647670;Central;Plano Piloto
5315506;Central;Plano Piloto
9060340;Central;Sudoeste/Octogonal
6890105;Central;Plano Piloto
3551407;Central;Plano Piloto
2847167;Central;Plano Piloto
4136942;Central;Plano Piloto
955493;Central;Plano Piloto
9987010;Central;Plano Piloto
3697436;Central;Sudoeste/Octogonal
4411307;Central;Lago Sul
9695850;Central;Plano Piloto
9529675;Central;Plano Piloto
2914964;Central;Plano Piloto
3879437;Central;Plano Piloto
3266109;Central;Plano Piloto
7024916;Central;Plano Piloto
4462750;Central;Plano Piloto
4471253;Central;Plano Piloto
4537386;Central;Sudoeste/Octogonal
4524527;Central;Plano Piloto
6698271;Central;Plano Piloto
7263430;Central;Plano Piloto
9791167;Central;Plano Piloto
119571;Central;Plano Piloto
4662156;Central;Plano Piloto
4112504;Central;Plano Piloto
773646;Central;Lago Sul
5032016;Central;Plano Piloto
9951830;Central;Lago Sul
417521;Central;Plano Piloto
6667023;Central;Plano Piloto
9858172;Central;Plano Piloto
6291163;Central;Plano Piloto
539708;Central;Plano Piloto
1131966;Central;Lago Sul
46469;Central;Plano Piloto
4434315;Central;Plano Piloto
4146697;Central;Sudoeste/Octogonal
4540174;Central;Plano Piloto
3558150;Central;Sudoeste/Octogonal
4324811;Central;Plano Piloto
782483;Central;Plano Piloto
469653;Central;Sudoeste/Octogonal
7905173;Central;Plano Piloto
7823088;Central;Plano Piloto
9590579;Central;Plano Piloto
3650383;Central;Plano Piloto
3256855;Central;Plano Piloto
9882804;Central;Plano Piloto
886300;Central;Plano Piloto
9842489;Central;Plano Piloto
3026043;Central;Sudoeste/Octogonal
4484460;Central;Plano Piloto
7078730;Sudoeste;Recanto das Emas
9056963;Sudoeste;Vicente Pires
9264426;Sudoeste;Águas Claras
6384552;Sudoeste;Taguatinga
10804;Sudoeste;Recanto das Emas
7990979;Sudoeste;Taguatinga
9896791;Sudoeste;Águas Claras
6692915;Sudoeste;Taguatinga
7780753;Sudoeste;Águas Claras
9942734;Sudoeste;Taguatinga
830704;Sudoeste;Águas Claras
7957815;Sudoeste;Taguatinga
9978410;Sudoeste;Taguatinga
9575243;Sudoeste;Taguatinga
6568777;Sudoeste;Taguatinga
3098397;Sudoeste;Taguatinga
4092538;Sudoeste;Águas Claras
9625372;Sudoeste;Taguatinga
9182616;Sudoeste;Taguatinga
9876960;Sudoeste;Águas Claras
404543;Sudoeste;Taguatinga
4140753;Sudoeste;Taguatinga
4959477;Sudoeste;Águas Claras
7539878;Sudoeste;Taguatinga
4587278;Sudoeste;Samambaia
9098828;Sudoeste;Águas Claras
769045;Sudoeste;Samambaia
9123334;Sudoeste;Águas Claras
4966171;Sudoeste;Águas Claras
2870630;Sudoeste;Vicente Pires
4599098;Sudoeste;Águas Claras
4045165;Sudoeste;Taguatinga
4891155;Sudoeste;Samambaia
7009445;Sudoeste;Taguatinga
9859632;Sudoeste;Samambaia
3057682;Sudoeste;Taguatinga
9842837;Sudoeste;Taguatinga
9758410;Sudoeste;Taguatinga
4423003;Sudoeste;Águas Claras
827525;Sudoeste;Taguatinga
4401085;Sudoeste;Vicente Pires
6600557;Sudoeste;Taguatinga
881627;Sudoeste;Taguatinga
4664485;Sudoeste;Taguatinga
4205324;Sudoeste;Vicente Pires
4684273;Sudoeste;Águas Claras
7824149;Sudoeste;Recanto das Emas
4777794;Sudoeste;Taguatinga
7913273;Sudoeste;Águas Claras
4609212;Sudoeste;Taguatinga
9350918;Sudoeste;Águas Claras
4650379;Sudoeste;Águas Claras
9673121;Sudoeste;Vicente Pires
4317009;Sudoeste;Águas Claras
9842101;Sudoeste;Águas Claras
3057712;Sudoeste;Samambaia
2873192;Sudoeste;Taguatinga
9695966;Sudoeste;Taguatinga
754684;Sudoeste;Águas Claras
2942453;Sudoeste;Arniqueira
4256441;Sudoeste;Taguatinga
844365;Sudoeste;Águas Claras
5598575;Sul;Gama
9190163;Sul;Santa Maria
9317368;Sul;Gama
7991304;Sul;Gama
9180168;Sul;Gama
828807;Sul;Santa Maria
4237323;Sul;Gama
6251080;Sul;Gama
9505377;Sul;Gama
4433289;Sul;Santa Maria
9125434;Sul;Gama
3027767;Sul;Gama
4702190;Sul;Gama
4949706;Sul;Gama
7863861;Sul;Gama
4612930;Sul;Gama
4951980;Sul;Santa Maria
4132629;Sul;Gama
3448614;Sul;Gama
4512545;Sul;Gama
4190645;Sul;Santa Maria
6298648;Sul;Gama
4623916;Sul;Santa Maria
3256901;Sul;Santa Maria
4625641;Sul;Santa Maria
4664612;Sul;Santa Maria
9283811;Sul;Gama
484105;Sul;Gama
4095898;Sul;Santa Maria
4747380;Sul;Santa Maria
4687914;Sul;Gama
7028792;Sul;Gama
9923993;Sul;Gama
4643704;Sul;Santa Maria
680699;Sul;Gama
3483614;Sul;Gama
4519655;Sul;Santa Maria
4324420;Sul;Santa Maria
4326474;Sul;Gama
4872290;Sul;Gama
9936785;Sul;Santa Maria
40851;Sul;Gama
2875659;Sul;Santa Maria
4050789;Sul;Santa Maria
9959823;Sul;Gama
5039746;Central;Plano Piloto
6012515;Central;Plano Piloto
3216381;Central;Plano Piloto
4561007;Central;Plano Piloto
103349;Central;Plano Piloto
9341137;Central;Plano Piloto
9348662;Central;Plano Piloto
3330389;Central;Plano Piloto
9442243;Central;Plano Piloto
4518918;Central;Plano Piloto
7810350;Central;Plano Piloto
6747477;Central;Plano Piloto
2844370;Central;Plano Piloto
5485096;Central;Plano Piloto
215376;Central;Sudoeste/Octogonal
3220575;Central;Lago Sul
9387676;Central;Plano Piloto
7459998;Central;Plano Piloto
7628706;Central;Plano Piloto
4708121;Central;Lago Norte
4762088;Central;Plano Piloto
9870164;Central;Plano Piloto
9908943;Central;Plano Piloto
5680727;Central;Plano Piloto
3470156;Central;Plano Piloto
264679;Central;Plano Piloto
3778207;Central;Plano Piloto
3973042;Central;Plano Piloto
7401868;Central;Plano Piloto
3252515;Central;Plano Piloto
5396859;Central;Plano Piloto
4801202;Central;Plano Piloto
9225668;Central;Plano Piloto
3117359;Central;Plano Piloto
967203;Central;Plano Piloto
3216365;Central;Plano Piloto
4978293;Central;Lago Sul
9987665;Central;Lago Sul
4032144;Central;Plano Piloto
6325017;Central;Plano Piloto
3429105;Central;Plano Piloto
9307400;Central;Plano Piloto
9217460;Central;Plano Piloto
697672;Central;Plano Piloto
9213074;Central;Plano Piloto
9424881;Central;Sudoeste/Octogonal
155950;Central;Plano Piloto
754625;Central;Plano Piloto
4530055;Central;Plano Piloto
9311963;Central;Plano Piloto
7197160;Central;Plano Piloto
3524825;Central;Plano Piloto
4073304;Central;Plano Piloto
4371836;Central;Plano Piloto
9427376;Central;Plano Piloto
7009313;Central;Plano Piloto
4352106;Central;Plano Piloto
2922215;Central;Plano Piloto
860611;Central;Plano Piloto
3401839;Central;Plano Piloto
3273717;Central;Plano Piloto
4569296;Central;Plano Piloto
4115767;Central;Sudoeste/Octogonal
822973;Central;Plano Piloto
152250;Central;Plano Piloto
9958231;Central;Plano Piloto
4344421;Central;Plano Piloto
4341953;Central;Plano Piloto
3373487;Central;Plano Piloto
2993724;Central;Plano Piloto
3086569;Central;Lago Sul
9100059;Central;Sudoeste/Octogonal
4635841;Central;Plano Piloto
897930;Central;Plano Piloto
9858261;Central;Plano Piloto
7483996;Central;Plano Piloto
4481488;Central;Plano Piloto
6224288;Central;Plano Piloto
3822109;Central;Plano Piloto
906840;Central;Plano Piloto
4610059;Central;Sudoeste/Octogonal
2893525;Central;Plano Piloto
4609360;Central;Plano Piloto
4412818;Central;Plano Piloto
4199987;Central;Lago Sul
3057704;Central;Lago Sul
980129;Central;Plano Piloto
2616815;Central;Plano Piloto
4666275;Central;Plano Piloto
9936459;Central;Plano Piloto
4795512;Central;Sudoeste/Octogonal
9639403;Central;Plano Piloto
2867028;Central;Plano Piloto
3525333;Central;Plano Piloto
4004981;Central;Plano Piloto
651230;Central;Plano Piloto
3107736;Central;Plano Piloto
4642120;Central;Plano Piloto
648132;Central;Plano Piloto
119563;Central;Plano Piloto
9474374;Central;Plano Piloto
190292;Central;Plano Piloto
9499733;Central;Plano Piloto
4516184;Central;Plano Piloto
4475836;Central;Plano Piloto
5085055;Central;Lago Sul
9463755;Central;Plano Piloto
4323866;Central;Plano Piloto
6323863;Central;Plano Piloto
2889110;Central;Plano Piloto
4325389;Central;Plano Piloto
7017413;Central;Plano Piloto
151459;Central;Plano Piloto
2821087;Central;Plano Piloto
4108930;Central;Plano Piloto
392723;Central;Plano Piloto
3054888;Central;Plano Piloto
965022;Central;Plano Piloto
9555935;Central;Plano Piloto
1140876;Central;Plano Piloto
9151990;Central;Plano Piloto
5504279;Norte;Sobradinho
9414754;Norte;Sobradinho
9768637;Norte;Planaltina
7368895;Norte;Sobradinho
9190473;Norte;Sobradinho
5479878;Norte;Sobradinho
11258;Norte;Sobradinho II
5050359;Norte;Planaltina
7969457;Norte;Planaltina
520462;Norte;Planaltina
5653258;Norte;Planaltina
161616;Norte;Sobradinho
5050340;Norte;Arapoanga
7991436;Norte;Sobradinho II
9593772;Norte;Sobradinho
6736602;Norte;Planaltina
7991029;Norte;Planaltina
3031543;Norte;Sobradinho
6490883;Norte;Sobradinho
11517;Norte;Fercal
7687079;Norte;Sobradinho
773875;Norte;Sobradinho
9056939;Norte;Sobradinho
6770657;Norte;Sobradinho II
9881468;Norte;Sobradinho
4094719;Norte;Planaltina
5409721;Norte;Planaltina
6216005;Norte;Arapoanga
9475702;Norte;Sobradinho
5707196;Norte;Sobradinho
4594711;Norte;Planaltina
4613589;Norte;Planaltina
803189;Norte;Sobradinho
9832009;Norte;Planaltina
4830725;Norte;Planaltina
658286;Norte;Sobradinho
9253041;Norte;Sobradinho
4854179;Norte;Sobradinho
3030822;Norte;Sobradinho
9187723;Norte;Sobradinho
9330119;Norte;Planaltina
9924523;Norte;Planaltina
2975408;Norte;Sobradinho
4278631;Norte;Sobradinho
4583507;Norte;Sobradinho
6527353;Norte;Sobradinho
9890939;Norte;Planaltina
4468651;Norte;Planaltina
2952785;Norte;Sobradinho
7991487;Norte;Sobradinho
5296668;Norte;Sobradinho
7991347;Norte;Sobradinho
9568786;Norte;Sobradinho
4842162;Norte;Planaltina
4334825;Norte;Planaltina
3031926;Norte;Sobradinho
4334876;Norte;Sobradinho
4551184;Norte;Sobradinho
4643666;Norte;Sobradinho
4829654;Norte;Sobradinho
5533627;Norte;Sobradinho
9807624;Norte;Sobradinho
4914872;Norte;Planaltina
280623;Norte;Sobradinho
3031993;Norte;Sobradinho
4062035;Norte;Sobradinho
4391160;Norte;Sobradinho
4189116;Norte;Planaltina
4415299;Norte;Sobradinho
6233376;Norte;Planaltina
9670483;Norte;Planaltina
4103408;Norte;Sobradinho
1138790;Norte;Sobradinho
3379701;Norte;Sobradinho
4063473;Norte;Sobradinho
9866558;Norte;Sobradinho
2649497;Sudoeste;Taguatinga
7847459;Sudoeste;Taguatinga
38210;Sudoeste;Águas Claras
9190139;Sudoeste;Recanto das Emas
6877214;Sudoeste;Águas Claras
9334718;Sudoeste;Águas Claras
6693709;Sudoeste;Taguatinga
489018;Sudoeste;Taguatinga
5359309;Sudoeste;Taguatinga
9515720;Sudoeste;Taguatinga
9727906;Sudoeste;Taguatinga
5353106;Sudoeste;Taguatinga
5083400;Sudoeste;Taguatinga
7357672;Sudoeste;Taguatinga
9460470;Sudoeste;Águas Claras
9908455;Sudoeste;Águas Claras
80233;Sudoeste;Samambaia
3860744;Sudoeste;Taguatinga
3067181;Sudoeste;Taguatinga
4369440;Sudoeste;Recanto das Emas
9539433;Sudoeste;Águas Claras
2915820;Sudoeste;Taguatinga
4513614;Sudoeste;Taguatinga
9846948;Sudoeste;Águas Claras
4255534;Sudoeste;Taguatinga
4866592;Sudoeste;Águas Claras
7790422;Sudoeste;Samambaia
4835263;Sudoeste;Taguatinga
7909101;Sudoeste;Taguatinga
9095217;Sudoeste;Taguatinga
4942116;Sudoeste;Vicente Pires
3231305;Sudoeste;Taguatinga
7337353;Sudoeste;Águas Claras
9375813;Sudoeste;Águas Claras
9586288;Sudoeste;Taguatinga
9894802;Sudoeste;Águas Claras
129615;Sudoeste;Águas Claras
4336968;Sudoeste;Recanto das Emas
4667778;Sudoeste;Samambaia
4433564;Sudoeste;Águas Claras
4574796;Sudoeste;Águas Claras
34177;Sudoeste;Águas Claras
299634;Sudoeste;Recanto das Emas
9567097;Sudoeste;Águas Claras
1136062;Sudoeste;Taguatinga
3406709;Sudoeste;Águas Claras
3067246;Sudoeste;Taguatinga
3867617;Sudoeste;Águas Claras
4060997;Sudoeste;Taguatinga
5480868;Sudoeste;Taguatinga
4314328;Sudoeste;Taguatinga
1132369;Sudoeste;Recanto das Emas
4195868;Sudoeste;Águas Claras
3971554;Sudoeste;Samambaia
2852063;Sudoeste;Águas Claras
4589459;Sudoeste;Águas Claras
7991509;Sudoeste;Recanto das Emas
4063635;Sudoeste;Taguatinga
962945;Sudoeste;Taguatinga
4341503;Sudoeste;Águas Claras
3686655;Sudoeste;Águas Claras
6649408;Sudoeste;Taguatinga
4064097;Sudoeste;Taguatinga
4367634;Central;Plano Piloto
11371;Central;Plano Piloto
9025731;Central;Plano Piloto
6820115;Central;Plano Piloto
2811219;Central;Plano Piloto
7219695;Central;Plano Piloto
3737543;Central;Plano Piloto
7423136;Central;Plano Piloto
3252302;Central;Plano Piloto
3065057;Central;Plano Piloto
822663;Central;Plano Piloto
9528091;Central;Plano Piloto
3073548;Central;Lago Norte
314579;Central;Lago Sul
9626670;Central;Plano Piloto
6352340;Central;Sudoeste/Octogonal
2889781;Central;Lago Sul
9882375;Central;Plano Piloto
3086852;Central;Plano Piloto
4702239;Central;Plano Piloto
3039021;Central;Sudoeste/Octogonal
4518888;Central;Plano Piloto
9294791;Central;Lago Sul
4339177;Central;Plano Piloto
9304401;Central;Sudoeste/Octogonal
3303438;Central;Plano Piloto
4712897;Central;Plano Piloto
9860924;Central;Lago Sul
6594948;Central;Plano Piloto
7597479;Central;Plano Piloto
7579144;Central;Plano Piloto
4117603;Central;Plano Piloto
901229;Central;Plano Piloto
9958258;Central;Plano Piloto
7686285;Central;Plano Piloto
9819762;Central;Plano Piloto
6006272;Central;Plano Piloto
6046010;Central;Plano Piloto
9315535;Central;Plano Piloto
6435904;Central;Plano Piloto
883069;Central;Sudoeste/Octogonal
9845534;Central;Plano Piloto
9924191;Central;Plano Piloto
4863054;Central;Plano Piloto
3029905;Central;Plano Piloto
987670;Central;Plano Piloto
3079260;Central;Plano Piloto
4937392;Central;Plano Piloto
6530303;Central;Plano Piloto
3415473;Central;Plano Piloto
511528;Central;Sudoeste/Octogonal
9703896;Central;Plano Piloto
857793;Central;Sudoeste/Octogonal
2993708;Central;Plano Piloto
4708288;Central;Plano Piloto
3113825;Central;Plano Piloto
7728387;Central;Plano Piloto
4776577;Central;Plano Piloto
6602398;Central;Sudoeste/Octogonal
3355799;Central;Plano Piloto
4643534;Central;Plano Piloto
7049188;Central;Plano Piloto
6804632;Central;Plano Piloto
4367405;Central;Plano Piloto
4891104;Central;Sudoeste/Octogonal
9512179;Central;Lago Sul
865982;Central;Plano Piloto
3888274;Central;Plano Piloto
550116;Central;Plano Piloto
4338073;Central;Sudoeste/Octogonal
9272895;Central;Plano Piloto
6791859;Central;Plano Piloto
6324029;Central;Plano Piloto
3505073;Central;Plano Piloto
9673288;Central;Plano Piloto
4537475;Central;Plano Piloto
7116365;Central;Plano Piloto
4217594;Central;Plano Piloto
876844;Central;Plano Piloto
9648321;Central;Plano Piloto
3252396;Central;Plano Piloto
3744205;Central;Plano Piloto
5975409;Central;Plano Piloto
9577726;Central;Plano Piloto
4849566;Central;Plano Piloto
6949711;Central;Plano Piloto
6573924;Central;Plano Piloto
5485258;Central;Plano Piloto
9164804;Central;Plano Piloto
5334152;Central;Plano Piloto
4573323;Central;Plano Piloto
2907453;Central;Cruzeiro
7220316;Central;Plano Piloto
264628;Central;Plano Piloto
7936079;Central;Plano Piloto
9320148;Central;Plano Piloto
4318285;Central;Plano Piloto
4518470;Central;Plano Piloto
4323610;Central;Plano Piloto
9320393;Central;Plano Piloto
9924124;Central;Plano Piloto
9337806;Central;Plano Piloto
4663551;Central;Plano Piloto
7380321;Central;Plano Piloto
3282090;Central;Sudoeste/Octogonal
4692659;Central;Plano Piloto
7581246;Central;Plano Piloto
4596536;Central;Plano Piloto
3077276;Central;Plano Piloto
7975325;Central;Plano Piloto
989193;Central;Plano Piloto
3908585;Central;Plano Piloto
4002822;Central;Lago Sul
6558658;Central;Plano Piloto
4540077;Central;Cruzeiro
5026970;Central;Plano Piloto
4470826;Central;Sudoeste/Octogonal
9027874;Central;Plano Piloto
2969335;Central;Plano Piloto
5315522;Central;Plano Piloto
4034775;Central;Plano Piloto
3743829;Central;Plano Piloto
6655734;Central;Plano Piloto
4386175;Central;Plano Piloto
9796541;Central;Plano Piloto
9730001;Central;Plano Piloto
9687475;Central;Plano Piloto
2827891;Central;Plano Piloto
985759;Central;Plano Piloto
3200612;Central;Plano Piloto
9614710;Central;Plano Piloto
9860983;Central;Sudoeste/Octogonal
4191439;Central;Plano Piloto
3667219;Central;Plano Piloto
4384989;Central;Plano Piloto
4483650;Central;Plano Piloto
2645157;Leste;Paranoá
7423489;Leste;São Sebastião
3212025;Leste;São Sebastião
3254909;Leste;São Sebastião
9605576;Leste;Jardim Botânico
6520413;Leste;Jardim Botânico
7216807;Leste;São Sebastião
947253;Leste;Jardim Botânico
7740719;Leste;São Sebastião
6330932;Leste;Paranoá
2973324;Leste;Paranoá
9779752;Leste;Paranoá
7765932;Leste;Jardim Botânico
954233;Leste;São Sebastião
4528824;Leste;Paranoá
9949488;Leste;Paranoá
9391320;Leste;Jardim Botânico
6362842;Leste;Paranoá
4373359;Leste;São Sebastião
804282;Leste;São Sebastião
9248455;Leste;Jardim Botânico
4497368;Leste;Paranoá
471909;Leste;São Sebastião
4113810;Leste;Itapoã
4719182;Leste;Jardim Botânico
4948653;Leste;Paranoá
5704294;Leste;Paranoá
4342224;Leste;Jardim Botânico
4248619;Leste;Jardim Botânico
53651;Leste;Jardim Botânico
754595;Leste;Jardim Botânico
2857723;Leste;Jardim Botânico
4147170;Leste;Jardim Botânico
6752438;Leste;Paranoá
4477049;Leste;São Sebastião
4263200;Leste;São Sebastião
3407284;Leste;Paranoá
2942801;Leste;Paranoá
793469;Leste;Paranoá
9190481;Sudoeste;Águas Claras
7771479;Sudoeste;Samambaia
366986;Sudoeste;Samambaia
7756402;Sudoeste;Taguatinga
2907658;Sudoeste;Samambaia
6349463;Sudoeste;Águas Claras
9333983;Sudoeste;Taguatinga
3208524;Sudoeste;Taguatinga
3254151;Sudoeste;Taguatinga
9896643;Sudoeste;Águas Claras
9439072;Sudoeste;Taguatinga
9672591;Sudoeste;Taguatinga
4865669;Sudoeste;Recanto das Emas
7791143;Sudoeste;Taguatinga
